1,0.12%,0.12%,0.20%
2,0.24%,0.22%,0.41%
3,0.35%,0.32%,0.60%
4,0.45%,0.41%,0.77%
5,0.53%,0.48%,0.90%
6,0.60%,0.55%,1.02%
7,0.67%,0.61%,1.14%
8,0.73%,0.66%,1.24%
9,0.78%,0.71%,1.33%
10,0.83%,0.75%,1.41%
11,0.91%,0.83%,1.55%
12,0.94%,0.85%,1.60%
13,0.96%,0.87%,1.63%
14,1.10%,1.00%,1.87%
15,1.11%,1.01%,1.89%
16,1.11%,1.01%,1.89%
17,1.11%,1.01%,1.89%
18,1.11%,1.01%,1.89%
19,1.11%,1.01%,1.89%
20,1.11%,1.01%,1.89%
21,1.11%,1.01%,1.89%
22,1.11%,1.01%,1.89%
23,1.11%,1.01%,1.89%
24,1.11%,1.01%,1.89%
25,1.11%,1.01%,1.89%
26,1.11%,1.01%,1.89%
27,1.11%,1.01%,1.89%
28,1.11%,1.01%,1.89%
29,1.11%,1.01%,1.89%
30,1.11%,1.01%,1.89%
31,1.11%,1.01%,1.89%
32,1.11%,1.01%,1.89%
33,1.11%,1.01%,1.89%
34,1.11%,1.01%,1.89%
35,1.11%,1.01%,1.89%
36,1.11%,1.01%,1.89%
37,1.11%,1.01%,1.89%
38,1.11%,1.01%,1.89%
39,1.11%,1.01%,1.89%
40,1.11%,1.01%,1.89%
41,1.11%,1.01%,1.89%
42,1.11%,1.01%,1.89%
43,1.11%,1.01%,1.89%
44,1.11%,1.01%,1.89%
45,1.11%,1.01%,1.89%
46,1.11%,1.01%,1.89%
47,1.11%,1.01%,1.89%
48,1.11%,1.01%,1.89%
49,1.11%,1.01%,1.89%
50,1.11%,1.01%,1.89%
51,1.11%,1.01%,1.89%
52,1.11%,1.01%,1.89%
53,1.11%,1.01%,1.89%
54,1.11%,1.01%,1.89%
55,1.11%,1.01%,1.89%
56,1.11%,1.01%,1.89%
57,1.11%,1.01%,1.89%
58,1.11%,1.01%,1.89%
59,1.11%,1.01%,1.89%
60,1.11%,1.01%,1.89%
61,1.11%,1.01%,1.89%
62,1.12%,1.01%,1.90%
63,1.12%,1.02%,1.90%
64,1.12%,1.02%,1.90%
65,1.12%,1.02%,1.91%
66,1.12%,1.02%,1.91%
67,1.12%,1.02%,1.91%
68,1.13%,1.02%,1.91%
69,1.13%,1.03%,1.92%
70,1.13%,1.03%,1.92%
71,1.13%,1.03%,1.92%
72,1.13%,1.03%,1.93%
73,1.14%,1.03%,1.93%
74,1.14%,1.03%,1.93%
75,1.14%,1.04%,1.94%
76,1.14%,1.04%,1.94%
77,1.14%,1.04%,1.94%
78,1.14%,1.04%,1.95%
79,1.15%,1.04%,1.95%
80,1.15%,1.04%,1.95%
81,1.15%,1.05%,1.96%
82,1.15%,1.05%,1.96%
83,1.15%,1.05%,1.96%
84,1.16%,1.05%,1.96%
85,1.16%,1.05%,1.97%
86,1.16%,1.05%,1.97%
87,1.16%,1.06%,1.97%
88,1.16%,1.06%,1.98%
89,1.16%,1.06%,1.98%
90,1.17%,1.06%,1.98%
91,1.17%,1.06%,1.99%
92,1.17%,1.06%,1.99%
93,1.17%,1.07%,1.99%
94,1.17%,1.07%,2.00%
95,1.18%,1.07%,2.00%
96,1.18%,1.07%,2.00%
97,1.18%,1.07%,2.01%
98,1.18%,1.07%,2.01%
99,1.18%,1.08%,2.01%
100,1.19%,1.08%,2.01%
101,1.19%,1.08%,2.02%
102,1.19%,1.08%,2.02%
103,1.19%,1.08%,2.02%
104,1.19%,1.08%,2.03%
105,1.19%,1.09%,2.03%
106,1.20%,1.09%,2.03%
107,1.20%,1.09%,2.04%
108,1.20%,1.09%,2.04%
109,1.20%,1.09%,2.04%
110,1.20%,1.09%,2.05%
111,1.21%,1.10%,2.05%
112,1.21%,1.10%,2.05%
113,1.21%,1.10%,2.05%
114,1.21%,1.10%,2.06%
115,1.21%,1.10%,2.06%
116,1.21%,1.10%,2.06%
117,1.22%,1.11%,2.07%
118,1.22%,1.11%,2.07%
119,1.22%,1.11%,2.07%
120,1.22%,1.11%,2.08%
121,1.22%,1.11%,2.08%
122,1.22%,1.11%,2.08%
123,1.23%,1.11%,2.08%
124,1.23%,1.12%,2.09%
125,1.23%,1.12%,2.09%
126,1.23%,1.12%,2.09%
127,1.23%,1.12%,2.09%
128,1.23%,1.12%,2.09%
129,1.23%,1.12%,2.10%
130,1.23%,1.12%,2.10%
131,1.24%,1.12%,2.10%
132,1.24%,1.12%,2.10%
133,1.24%,1.13%,2.11%
134,1.24%,1.13%,2.11%
135,1.24%,1.13%,2.11%
136,1.24%,1.13%,2.11%
137,1.24%,1.13%,2.11%
138,1.25%,1.13%,2.12%
139,1.25%,1.13%,2.12%
140,1.25%,1.13%,2.12%
141,1.25%,1.14%,2.12%
142,1.25%,1.14%,2.13%
143,1.25%,1.14%,2.13%
144,1.25%,1.14%,2.13%
145,1.25%,1.14%,2.13%
146,1.26%,1.14%,2.13%
147,1.26%,1.14%,2.14%
148,1.26%,1.14%,2.14%
149,1.26%,1.14%,2.14%
150,1.26%,1.15%,2.14%
151,1.26%,1.15%,2.15%
152,1.26%,1.15%,2.15%
153,1.26%,1.15%,2.15%
154,1.27%,1.15%,2.15%
155,1.27%,1.15%,2.15%
156,1.27%,1.15%,2.16%
157,1.27%,1.15%,2.16%
158,1.27%,1.16%,2.16%
159,1.27%,1.16%,2.16%
160,1.27%,1.16%,2.17%
161,1.27%,1.16%,2.17%
