1,1.60%,1.60%,2.11%
2,1.60%,1.60%,2.11%
3,1.60%,1.60%,2.11%
4,1.60%,1.60%,2.11%
5,1.60%,1.60%,2.11%
6,1.60%,1.60%,2.11%
7,1.60%,1.60%,2.11%
8,1.60%,1.60%,2.11%
9,1.60%,1.60%,2.11%
10,1.61%,1.61%,2.13%
11,1.60%,1.60%,2.11%
12,1.62%,1.62%,2.14%
13,1.64%,1.64%,2.16%
14,1.65%,1.65%,2.18%
15,1.67%,1.67%,2.21%
16,1.69%,1.69%,2.23%
17,1.71%,1.71%,2.26%
18,1.73%,1.73%,2.28%
19,1.75%,1.75%,2.31%
20,1.76%,1.76%,2.33%
21,1.78%,1.78%,2.35%
22,1.80%,1.80%,2.38%
23,1.82%,1.82%,2.40%
24,1.84%,1.84%,2.43%
25,1.86%,1.61%,2.45%
26,1.87%,1.63%,2.47%
27,1.89%,1.65%,2.50%
28,1.91%,1.66%,2.52%
29,1.93%,1.68%,2.55%
30,1.95%,1.69%,2.57%
31,1.97%,1.71%,2.60%
32,1.98%,1.73%,2.62%
33,2.00%,1.74%,2.64%
34,2.02%,1.76%,2.67%
35,2.04%,1.77%,2.69%
36,2.06%,1.79%,2.72%
37,2.08%,1.81%,2.74%
38,2.09%,1.82%,2.76%
39,2.11%,1.84%,2.79%
40,2.13%,1.85%,2.81%
41,2.15%,1.87%,2.84%
42,2.17%,1.88%,2.86%
43,2.19%,1.90%,2.88%
44,2.20%,1.92%,2.91%
45,2.22%,1.93%,2.93%
46,2.24%,1.95%,2.96%
47,2.26%,1.96%,2.98%
48,2.28%,1.98%,3.01%
49,2.30%,2.00%,3.03%
50,2.31%,2.01%,3.05%
51,2.33%,2.03%,3.08%
52,2.35%,2.04%,3.10%
53,2.37%,2.06%,3.13%
54,2.39%,2.08%,3.15%
55,2.41%,2.09%,3.17%
56,2.42%,2.11%,3.20%
57,2.44%,2.12%,3.22%
58,2.46%,2.14%,3.25%
59,2.48%,2.16%,3.27%
60,2.50%,2.17%,3.30%
61,2.52%,2.19%,3.32%
62,2.53%,2.20%,3.35%
63,2.55%,2.22%,3.37%
64,2.57%,2.24%,3.40%
65,2.59%,2.25%,3.42%
66,2.61%,2.27%,3.45%
67,2.63%,2.29%,3.47%
68,2.65%,2.30%,3.50%
69,2.67%,2.32%,3.52%
70,2.69%,2.34%,3.55%
71,2.71%,2.35%,3.57%
72,2.72%,2.37%,3.60%
73,2.74%,2.39%,3.62%
74,2.76%,2.40%,3.65%
75,2.78%,2.42%,3.67%
76,2.80%,2.44%,3.70%
77,2.82%,2.45%,3.72%
78,2.84%,2.47%,3.75%
79,2.86%,2.48%,3.77%
80,2.88%,2.50%,3.80%
81,2.90%,2.52%,3.82%
82,2.91%,2.53%,3.85%
83,2.93%,2.55%,3.87%
84,2.95%,2.57%,3.90%
85,2.97%,2.58%,3.92%
86,2.99%,2.60%,3.95%
87,3.01%,2.62%,3.97%
88,3.03%,2.63%,4.00%
89,3.05%,2.65%,4.02%
90,3.07%,2.67%,4.05%
91,3.09%,2.68%,4.07%
92,3.10%,2.70%,4.10%
93,3.12%,2.72%,4.12%
94,3.14%,2.73%,4.15%
95,3.16%,2.75%,4.17%
96,3.18%,2.77%,4.20%
97,3.20%,2.78%,4.22%
98,3.22%,2.80%,4.25%
99,3.24%,2.82%,4.27%
100,3.26%,2.83%,4.30%
101,3.28%,2.85%,4.32%
102,3.29%,2.86%,4.35%
103,3.31%,2.88%,4.37%
104,3.33%,2.90%,4.40%
105,3.35%,2.91%,4.42%
106,3.37%,2.93%,4.45%
107,3.39%,2.95%,4.47%
108,3.41%,2.96%,4.50%
109,3.43%,2.98%,4.52%
110,3.45%,3.00%,4.55%
111,3.47%,3.01%,4.57%
112,3.48%,3.03%,4.60%
113,3.50%,3.05%,4.62%
114,3.52%,3.06%,4.65%
115,3.54%,3.08%,4.68%
116,3.56%,3.10%,4.70%
117,3.58%,3.11%,4.73%
118,3.60%,3.13%,4.75%
119,3.62%,3.15%,4.78%
120,3.64%,3.16%,4.80%
121,3.65%,3.18%,4.82%
122,3.67%,3.19%,4.84%
123,3.68%,3.20%,4.86%
124,3.70%,3.22%,4.88%
125,3.71%,3.23%,4.90%
126,3.73%,3.24%,4.92%
127,3.74%,3.25%,4.94%
128,3.76%,3.27%,4.96%
129,3.77%,3.28%,4.98%
130,3.79%,3.29%,5.00%
131,3.80%,3.31%,5.02%
132,3.82%,3.32%,5.04%
133,3.83%,3.33%,5.06%
134,3.85%,3.35%,5.08%
135,3.86%,3.36%,5.10%
136,3.88%,3.37%,5.12%
137,3.90%,3.39%,5.14%
138,3.91%,3.40%,5.16%
139,3.93%,3.41%,5.18%
140,3.94%,3.43%,5.20%
141,3.96%,3.44%,5.22%
142,3.97%,3.45%,5.24%
143,3.99%,3.47%,5.26%
144,4.00%,3.48%,5.28%
145,4.02%,3.49%,5.30%
146,4.03%,3.51%,5.32%
